ROI sum

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_2_1_0   1655668 1655636 156764
SRM_1831_300s_20x20det_2_1_1   1663786 1657093 154996
SRM_1831_300s_20x20det_2_1_10  1657000 1656854 152988
SRM_1831_300s_20x20det_2_1_11  1659186 1654918 154107
SRM_1831_300s_20x20det_2_1_12  1655753 1653547 153563
SRM_1831_300s_20x20det_2_1_13  1658445 1655550 154722
SRM_1831_300s_20x20det_2_1_14  1659002 1655016 154070
SRM_1831_300s_20x20det_2_1_15  1661796 1656720 153902
SRM_1831_300s_20x20det_2_1_16  1655691 1653245 152718
SRM_1831_300s_20x20det_2_1_17  1657742 1651250 153103
SRM_1831_300s_20x20det_2_1_18  1657827 1650918 153947
SRM_1831_300s_20x20det_2_1_19  1660291 1656672 153929
