Net counts

Spectrum                              Na    Mg    Al      Si     S    Cl      K      Ca    Ti     V    Mn     Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_20x20det_1_15_7.spx  10074 11468 15559 1676645 10179     0  47357 1857085  6510   405  2441 119400  2092 14705  6437 34937 11512 131703     0
SRM_1831_300s_20x20det_1_15_8.spx  10256 11638 15703 1674148  9487     0  46041 1855090  6784   394  2606 119609  2265 14940  7108 35444 11834 131105     0
SRM_1831_300s_20x20det_1_15_9.spx  10311 11482 15850 1674806 10041   184  49475 1853729  6239   430  2536 119069  2411 14736  6113 35278 10939 130552     0
SRM_1831_300s_20x20det_1_16_0.spx  10236 11695 16181 1677424 10182    48  47260 1859002  6459   406  2110 119898  2216 14829  7265 35381 11603 131649     0
SRM_1831_300s_20x20det_1_16_1.spx  10211 11878 16166 1676457  9985   106  48141 1858280  6704   580  2846 120372  1709 14505  6630 35490 11795 130240     0
SRM_1831_300s_20x20det_1_16_10.spx 10376 11517 15816 1676371  9991     0  47334 1857855  6591   316  2178 119481  1657 14619  6451 36045 11615 131038     0
SRM_1831_300s_20x20det_1_16_11.spx 10180 11720 15884 1678364 10074     0  48350 1858542  6638   317  2287 120763  2193 14478  7691 35578 11416 130308     0
SRM_1831_300s_20x20det_1_16_12.spx 10126 11409 15588 1674770  9975    30  48034 1859866  6619   492  2281 119631  2287 14072  6164 35562 11949 129399     0
SRM_1831_300s_20x20det_1_16_13.spx  8716 10143 14307 1544404 14471   849  47473 1838448  6501   564  2015 119851  2146 14761  7546 35894 12589 130543     0
SRM_1831_300s_20x20det_1_16_14.spx 10258 11743 15786 1676811 10042     0  45634 1855746  6581   422  2203 119362  2373 15021  7134 35840 12508 131401     0
