Net counts

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_9_3   1657634 1829002 119939
SRM_1831_300s_20x20det_1_9_4   1657610 1822726 120344
SRM_1831_300s_20x20det_1_9_5   1654545 1825009 120013
SRM_1831_300s_20x20det_1_9_6   1658492 1827181 119206
SRM_1831_300s_20x20det_1_9_7   1652912 1824066 119666
SRM_1831_300s_20x20det_1_9_8   1656075 1825570 120679
SRM_1831_300s_20x20det_1_9_9   1651753 1825200 120194
SRM_1831_300s_20x20det_2_0_0   1807012 1985777 126788
SRM_1831_300s_20x20det_2_0_1   1804445 1984731 127001
SRM_1831_300s_20x20det_2_0_10  1810529 1994874 128176
SRM_1831_300s_20x20det_2_0_11  1811171 1996622 126904
SRM_1831_300s_20x20det_2_0_12  1812657 1998951 127875
SRM_1831_300s_20x20det_2_0_13  1811064 1995227 128236
SRM_1831_300s_20x20det_2_0_14  1811991 1998665 128172
SRM_1831_300s_20x20det_2_0_15  1807207 1994647 128064
SRM_1831_300s_20x20det_2_0_16  1810523 1994858 127409
SRM_1831_300s_20x20det_2_0_17  1810815 1992401 128055
SRM_1831_300s_20x20det_2_0_18  1808226 1993705 126609
SRM_1831_300s_20x20det_2_0_19  1812838 1994602 127664
SRM_1831_300s_20x20det_2_0_2    327640  360803  22365
SRM_1831_300s_20x20det_2_0_3   1807532 1986966 128049
SRM_1831_300s_20x20det_2_0_4   1809036 1992853 127598
SRM_1831_300s_20x20det_2_0_5   1807344 1992648 126971
SRM_1831_300s_20x20det_2_0_6   1815825 2000203 127515
SRM_1831_300s_20x20det_2_0_7   1813470 1998443 128569
SRM_1831_300s_20x20det_2_0_8   1812075 1996571 127808
SRM_1831_300s_20x20det_2_0_9   1765505 1990420 127675
SRM_1831_300s_20x20det_2_1_0   1803460 1994619 127164
SRM_1831_300s_20x20det_2_1_1   1811378 1996229 126441
SRM_1831_300s_20x20det_2_1_10  1805933 1995381 125552
SRM_1831_300s_20x20det_2_1_11  1807182 1994147 127565
SRM_1831_300s_20x20det_2_1_12  1802891 1992768 126135
SRM_1831_300s_20x20det_2_1_13  1805358 1993471 128394
SRM_1831_300s_20x20det_2_1_14  1806393 1993588 127942
SRM_1831_300s_20x20det_2_1_15  1811567 1995962 127413
SRM_1831_300s_20x20det_2_1_16  1803444 1991788 126078
SRM_1831_300s_20x20det_2_1_17  1805384 1988549 126587
SRM_1831_300s_20x20det_2_1_18  1805467 1988605 127228
SRM_1831_300s_20x20det_2_1_19  1807751 1994557 127689
