ROI net sum

Spectrum               Na    Mg    Al      Si      K      Ca    Ti    Mn     Fe    Zn    Rb     Sr    Zr     Rh
264                 45252 46607 63805 5415892 143619 5387757 20007  9614 344035 53661 36799 113213 47883 368005
265                 44341 46528 63643 5414899 144318 5384667 19706 11274 342693 53281 37256 112489 47511 366117
266                 44527 46508 64052 5403126 143699 5376891 20392  9218 341114 53447 37460 112950 46905 366653
267                 44610 46849 64448 5409579 144414 5386196 20493  9816 341460 53738 37221 112539 48558 366217
268                 44800 46609 63728 5404329 143570 5378342 19944 10724 342286 53422 37972 112859 48348 368047
269                 44990 46794 63328 5396189 143605 5369558 19930  9721 342029 53524 36835 112954 49092 367573
270                 44850 46574 63648 5391673 144054 5370935 20833  9468 341345 54970 36677 112941 48997 365741
271                 44826 46840 63593 5393093 143896 5372514 20317 10492 341345 53414 36781 112097 46778 365263
272                 44446 47037 63982 5392318 144192 5364620 20171 10120 339892 53623 36798 113782 49185 366981
273                 44969 46894 63620 5392747 143119 5366318 20709 10330 341850 53946 36798 113143 48720 368546
274                 45396 46836 63452 5389375 144804 5363071 20158  9925 340976 54177 36042 112444 47196 373451
275                 45600 47506 64724 5438295 145506 5411714 20064 11301 344368 53350 36297 113605 49444 387528
276                 45414 47478 64166 5438393 144645 5404413 21075 10551 344880 53601 36877 113714 47278 373789
277                 45155 47402 64417 5437431 144606 5402129 20910 11376 344457 53350 36142 114139 48418 369971
278                 44820 46939 64164 5427111 143615 5404122 20086 10010 343736 54678 37508 113277 49613 368641
279                 44889 47079 64415 5431134 144737 5400924 20642 10715 344910 54018 35389 112576 48464 368066
280                 44803 46835 64265 5425936 144527 5397094 20798 10341 343470 53948 36352 112812 47900 367107
281                 44589 46743 63587 5423076 143914 5397557 20366 10322 343000 54303 36334 113998 48279 366692
282                 44638 46644 63891 5415541 143671 5392261 20205  9733 341702 53830 36833 113510 48893 366967
283                 45169 46920 64061 5411109 144495 5393461 20807 10884 344812 52605 36823 113355 48394 368300
284                 44619 46902 64168 5413944 144386 5385911 19677  9004 341342 55463 38964 113427 49071 366629
285                 44969 46591 63873 5405632 143541 5386114 20225  9757 343524 52873 36076 113854 47918 366218
286                 44537 46354 63746 5389335 144022 5364986 20008  9968 340737 54470 37547 112136 49009 363897
287                 44739 46421 63951 5409364 144568 5380606 20043 10196 342927 55233 36313 113078 48528 367076
288                 44630 46963 63589 5403076 144852 5385074 21009 10536 340977 54325 36836 114293 48110 366007
